,Date,Symbol,Open,High,Low,Close,Volume,Close_Prediction
1430,13-09-2005,WIPRO,375.0,378.0,370.25,372.95,1235422,397.9748
1431,14-09-2005,WIPRO,373.9,381.7,372.8,380.2,1550108,398.61914
1432,15-09-2005,WIPRO,380.2,384.85,380.2,382.5,686837,402.59918
1433,16-09-2005,WIPRO,384.0,384.95,378.35,382.55,617261,406.01645
1434,19-09-2005,WIPRO,384.0,384.95,379.05,379.9,738464,406.75348
1435,20-09-2005,WIPRO,381.0,382.65,374.0,376.35,1202829,405.4134
1436,21-09-2005,WIPRO,375.0,379.95,370.0,373.6,842371,402.77954
1437,22-09-2005,WIPRO,375.15,375.15,351.0,356.05,847123,400.2784
1438,23-09-2005,WIPRO,359.85,362.8,352.5,357.8,469642,390.485
1439,26-09-2005,WIPRO,360.0,374.5,359.6,373.75,656015,385.97437
1440,27-09-2005,WIPRO,374.0,378.95,371.0,376.2,848564,394.63086
1441,28-09-2005,WIPRO,376.0,376.0,352.0,372.25,1490810,400.80307
1442,29-09-2005,WIPRO,372.75,379.9,371.0,375.95,3874146,399.54294
1443,30-09-2005,WIPRO,375.0,378.0,370.3,371.45,805111,400.2122
1444,03-10-2005,WIPRO,375.2,382.0,374.0,380.05,917269,399.05746
1445,04-10-2005,WIPRO,381.0,402.0,380.0,401.0,2883978,402.05908
1446,05-10-2005,WIPRO,403.0,413.8,402.0,404.4,2066368,415.44818
1447,06-10-2005,WIPRO,403.0,404.0,386.15,390.35,2029404,423.69977
1448,07-10-2005,WIPRO,391.0,396.2,382.45,388.25,1534724,417.5351
1449,10-10-2005,WIPRO,390.0,398.5,388.2,394.4,1197567,412.10242
1450,11-10-2005,WIPRO,399.0,404.0,388.25,399.05,1302109,414.60492
1451,13-10-2005,WIPRO,400.0,400.0,386.95,389.35,1127643,418.89963
1452,14-10-2005,WIPRO,392.0,392.9,382.15,385.95,963251,415.36273
1453,17-10-2005,WIPRO,385.95,389.0,378.3,382.55,578790,410.61423
1454,18-10-2005,WIPRO,385.9,387.8,370.3,373.3,960055,407.82086
1455,19-10-2005,WIPRO,373.3,376.8,364.25,368.3,1750824,402.04004
1456,20-10-2005,WIPRO,376.8,383.0,365.0,368.7,1315246,396.63278
1457,21-10-2005,WIPRO,370.0,387.0,369.0,385.45,1428072,395.29468
1458,24-10-2005,WIPRO,392.0,392.0,372.0,372.75,807596,403.9688
1459,25-10-2005,WIPRO,372.5,384.5,372.5,377.2,735439,402.6549
1460,26-10-2005,WIPRO,377.2,379.9,372.5,376.7,568004,401.00488
1461,27-10-2005,WIPRO,376.0,384.0,365.2,373.6,2070072,402.12415
1462,28-10-2005,WIPRO,370.0,373.5,355.0,356.9,1022112,400.38647
1463,31-10-2005,WIPRO,369.0,369.0,355.75,364.6,516678,390.91754
1464,01-11-2005,WIPRO,369.0,372.5,363.05,364.5,185838,389.69382
1465,02-11-2005,WIPRO,364.5,371.5,357.5,369.65,814258,392.0145
1466,07-11-2005,WIPRO,369.0,378.7,369.0,377.15,862838,394.60718
1467,08-11-2005,WIPRO,380.0,395.0,375.25,390.85,1252997,400.022
1468,09-11-2005,WIPRO,391.0,394.7,381.05,384.5,853513,409.34628
1469,10-11-2005,WIPRO,385.05,388.0,381.5,385.6,881604,410.3359
1470,11-11-2005,WIPRO,388.0,405.0,387.25,404.15,2439575,408.93338
1471,14-11-2005,WIPRO,411.0,411.0,396.3,404.35,1085197,418.7876
1472,16-11-2005,WIPRO,407.7,410.0,404.85,409.05,789165,424.65317
1473,17-11-2005,WIPRO,410.0,416.0,401.5,413.2,1032873,427.13492
1474,18-11-2005,WIPRO,416.0,429.2,416.0,423.95,2386965,430.73633
1475,21-11-2005,WIPRO,429.0,429.0,416.0,421.2,1209291,437.57867
1476,22-11-2005,WIPRO,420.0,426.95,414.3,417.45,1171600,439.5119
1477,23-11-2005,WIPRO,418.0,434.5,417.55,431.4,1483585,436.71597
1478,24-11-2005,WIPRO,434.0,442.0,430.6,438.55,1576899,442.75854
1479,25-11-2005,WIPRO,439.4,442.9,435.55,439.55,997488,450.82718
1480,26-11-2005,WIPRO,442.9,444.0,435.65,437.55,315419,453.58566
1481,28-11-2005,WIPRO,444.0,450.0,439.1,445.2,1134928,452.8604
1482,29-11-2005,WIPRO,445.2,447.0,435.05,443.95,888459,456.20764
1483,30-11-2005,WIPRO,434.0,447.6,420.0,423.25,1501811,457.95685
1484,01-12-2005,WIPRO,424.8,435.0,419.0,432.9,2154461,446.8204
1485,02-12-2005,WIPRO,435.0,440.65,428.1,431.7,959480,445.34805
1486,05-12-2005,WIPRO,432.9,434.8,420.7,422.75,852859,447.74408
1487,06-12-2005,WIPRO,424.0,433.45,419.2,427.8,1557624,442.73337
1488,07-12-2005,WIPRO,428.5,439.9,427.0,436.4,1110157,442.55118
1489,08-12-2005,WIPRO,437.05,439.85,425.1,435.4,1876337,448.58517
1490,09-12-2005,WIPRO,436.0,442.9,433.9,441.45,837502,450.75818
1491,12-12-2005,WIPRO,442.9,446.8,430.0,436.85,844025,453.58548
1492,13-12-2005,WIPRO,437.0,450.0,433.7,448.85,1625711,453.09213
1493,14-12-2005,WIPRO,449.0,454.7,442.0,445.15,1069410,457.88577
1494,15-12-2005,WIPRO,445.15,449.0,435.65,438.4,1465631,459.72614
1495,16-12-2005,WIPRO,440.0,443.6,435.1,441.75,1361471,455.05643
1496,19-12-2005,WIPRO,443.6,457.4,443.6,456.0,1820447,454.68134
1497,20-12-2005,WIPRO,460.0,466.75,458.0,464.75,2538007,463.14542
1498,21-12-2005,WIPRO,466.0,468.0,453.45,458.4,1097145,472.19153
1499,22-12-2005,WIPRO,462.0,468.0,456.35,462.45,800373,471.62976
1500,23-12-2005,WIPRO,464.1,470.0,385.0,465.45,1470580,471.74594
1501,26-12-2005,WIPRO,467.05,467.05,452.3,453.75,920494,474.58887
1502,27-12-2005,WIPRO,452.3,463.95,448.5,462.25,665801,469.4226
1503,28-12-2005,WIPRO,464.0,467.0,452.0,456.4,689164,470.1778
1504,29-12-2005,WIPRO,458.8,464.95,451.15,463.3,1460743,469.7989
1505,30-12-2005,WIPRO,462.9,467.0,457.0,463.35,1094741,471.5602
1506,02-01-2006,WIPRO,462.0,464.5,455.3,461.7,645681,473.75906
1507,03-01-2006,WIPRO,461.0,476.0,458.4,473.0,1150446,472.91266
1508,04-01-2006,WIPRO,475.5,485.0,475.5,481.1,1151665,478.3013
1509,05-01-2006,WIPRO,482.0,484.0,472.25,474.05,839636,486.11288
1510,06-01-2006,WIPRO,475.0,475.0,451.0,472.7,994361,484.97452
1511,09-01-2006,WIPRO,475.0,477.6,452.25,460.95,868457,482.0409
1512,10-01-2006,WIPRO,461.5,465.9,456.15,459.65,1150838,475.4657
1513,12-01-2006,WIPRO,454.0,465.0,448.05,461.35,958239,471.0864
1514,13-01-2006,WIPRO,460.0,464.75,457.3,460.05,909574,471.56494
1515,16-01-2006,WIPRO,465.0,468.7,458.1,460.0,489273,471.42117
1516,17-01-2006,WIPRO,458.1,467.45,445.55,448.35,868017,470.98587
1517,18-01-2006,WIPRO,385.0,479.0,385.0,461.05,1771813,464.8933
1518,19-01-2006,WIPRO,465.0,507.0,465.0,498.05,3167635,467.85263
1519,20-01-2006,WIPRO,498.0,548.0,495.65,498.75,2086192,491.2326
1520,23-01-2006,WIPRO,495.65,496.0,482.6,492.3,1084385,503.32938
1521,24-01-2006,WIPRO,493.0,500.8,491.4,493.85,755732,500.15204
1522,25-01-2006,WIPRO,495.0,515.5,495.0,508.2,2026556,498.92334
1523,27-01-2006,WIPRO,512.0,519.7,501.1,505.15,761063,506.9816
1524,30-01-2006,WIPRO,506.0,526.6,500.0,522.4,1222470,509.93158
1525,31-01-2006,WIPRO,522.0,533.5,521.0,529.7,1346585,518.08655
1526,01-02-2006,WIPRO,530.0,532.95,518.0,522.25,609174,527.4616
